database_name	id	difficulty_tier	question	sql_query	template	generalized_template
drawSQL-mysql-export-2026-01-13_cachet	1	EASY	How many incidents did we have since occurred_at=date?	SELECT COUNT(*) FROM incidents WHERE occurred_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_cachet	2	EASY	Which components have status=num indicating they are down?	SELECT * FROM components WHERE status != 1 AND enabled = 1;	SELECT * FROM table_name WHERE col_name != num AND col_name = num;	SELECT * FROM variable WHERE variable != variable AND variable = variable;
drawSQL-mysql-export-2026-01-13_cachet	3	EASY	How many people are subscribed to get status updates?	SELECT COUNT(*) FROM subscribers;	SELECT COUNT(*) FROM table_name;	SELECT COUNT(*) FROM variable;
drawSQL-mysql-export-2026-01-13_cachet	4	EASY	What maintenance is scheduled between scheduled_at=date and scheduled_at=date?	SELECT * FROM schedules WHERE scheduled_at BETWEEN date('now') AND date('now', '+7 days') AND (completed_at IS NULL OR completed_at > datetime('now'));	SELECT * FROM table_name WHERE col_name BETWEEN date(string) AND date(string, string) AND (col_name IS NULL OR col_name > datetime(string));	SELECT * FROM variable WHERE variable BETWEEN DATE(variable) AND DATE(variable, variable) AND (variable IS NULL OR variable > DATETIME(variable));
drawSQL-mysql-export-2026-01-13_cachet	5	EASY	How many users signed up since created_at=date?	SELECT COUNT(*) FROM users WHERE created_at >= date('now', '-1 month');	SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);	SELECT COUNT(*) FROM variable WHERE variable >= DATE(variable, variable);
drawSQL-mysql-export-2026-01-13_cachet	6	EASY	How many activity log entries do we have in total?	SELECT COUNT(*) FROM actions;	SELECT COUNT(*) FROM table_name;	SELECT COUNT(*) FROM variable;
drawSQL-mysql-export-2026-01-13_cachet	7	EASY	Show me all of our activity log entries.	SELECT * FROM actions;	SELECT * FROM table_name;	SELECT * FROM variable;
drawSQL-mysql-export-2026-01-13_cachet	8	EASY	Can you look up the activity log entry with id=num?	SELECT * FROM actions WHERE id = num;	SELECT * FROM table_name WHERE id = num;	SELECT * FROM variable WHERE variable = variable;
drawSQL-mysql-export-2026-01-13_cachet	9	MEDIUM	What's the latest update on each incident?	SELECT i.*, iu.message, iu.status, iu.created_at as update_at FROM incidents i LEFT JOIN ( SELECT iu1.* FROM incident_updates iu1 INNER JOIN ( SELECT incident_id, MAX(created_at) as max_at FROM incident_updates GROUP BY incident_id ) iu2 ON iu1.incident_id = iu2.incident_id AND iu1.created_at = iu2.max_at ) iu ON iu.incident_id = i.id;	SELECT table_alias0.*, iu.col_name, iu.col_name, iu.col_name as column_alias0 FROM table_name table_alias0 LEFT JOIN ( SELECT table_alias1.* FROM table_name table_alias1 INNER JOIN ( SELECT col_name, MAX(col_name) as column_alias1 FROM table_name GROUP BY col_name ) iu2 ON table_alias1.col_name = iu2.col_name AND table_alias1.col_name = iu2.column_alias1 ) iu ON iu.col_name = table_alias0.id;	SELECT variable.*, variable, variable, variable AS variable FROM variable variable LEFT JOIN ( SELECT variable.* FROM variable variable INNER JOIN ( SELECT variable, MAX(variable) AS variable FROM variable GROUP BY variable ) variable ON variable = variable AND variable = variable ) variable ON variable = variable;
drawSQL-mysql-export-2026-01-13_cachet	10	MEDIUM	How many components do we have in each group?	SELECT cg.name as group_name, COUNT(c.id) as component_count FROM component_groups cg LEFT JOIN components c ON c.group_id = cg.id GROUP BY cg.id, cg.name;	SELECT table_alias0.col_name as column_alias0, COUNT(table_alias1.id) as column_alias1 FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id GROUP BY table_alias0.id, table_alias0.col_name;	SELECT variable AS variable, COUNT(variable) AS variable FROM variable variable LEFT JOIN variable variable ON variable = variable GROUP BY variable, variable;
drawSQL-mysql-export-2026-01-13_cachet	11	MEDIUM	Who are the most active users based on activity count?	SELECT * FROM users ORDER BY created_at DESC LIMIT 10;	SELECT * FROM table_name ORDER BY col_name DESC LIMIT num;	SELECT * FROM variable ORDER BY variable DESC LIMIT variable;
