database_name,question_id,question,difficulty,sql_query,template
drawSQL-mysql-export-2026-01-13_cachet,1,How many incidents did we have this month?,EASY,"SELECT COUNT(*) FROM incidents
WHERE strftime('%Y-%m', occurred_at) = strftime('%Y-%m', 'now');","SELECT COUNT(*) FROM table_name WHERE strftime(string, col_name) = strftime(string, string);"
drawSQL-mysql-export-2026-01-13_cachet,2,Which components are currently down or having issues?,EASY,SELECT * FROM components WHERE status != 1 AND enabled = 1;,SELECT * FROM table_name WHERE col_name != num AND col_name = num;
drawSQL-mysql-export-2026-01-13_cachet,3,How many people are subscribed to get status updates?,EASY,SELECT COUNT(*) FROM subscribers;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_cachet,4,What maintenance is scheduled for the next week?,EASY,"SELECT * FROM schedules
WHERE scheduled_at BETWEEN date('now') AND date('now', '+7 days')
AND (completed_at IS NULL OR completed_at > datetime('now'));","SELECT * FROM table_name WHERE col_name BETWEEN date(string) AND date(string, string) AND (col_name IS NULL OR col_name > datetime(string));"
drawSQL-mysql-export-2026-01-13_cachet,5,How many people signed up last month?,EASY,"SELECT COUNT(*) FROM users
WHERE created_at >= date('now', '-1 month');","SELECT COUNT(*) FROM table_name WHERE col_name >= date(string, string);"
drawSQL-mysql-export-2026-01-13_cachet,6,How many activity log entries do we have?,EASY,SELECT COUNT(*) FROM actions;,SELECT COUNT(*) FROM table_name;
drawSQL-mysql-export-2026-01-13_cachet,7,Show me all of our activity log entries.,EASY,SELECT * FROM actions;,SELECT * FROM table_name;
drawSQL-mysql-export-2026-01-13_cachet,8,Can you look up a specific activity log entry?,EASY,SELECT * FROM actions WHERE id = ?;,SELECT * FROM table_name WHERE id = num;
drawSQL-mysql-export-2026-01-13_cachet,9,What's the latest update on each incident?,MEDIUM,"SELECT i.*, iu.message, iu.status, iu.created_at as update_at
FROM incidents i
LEFT JOIN (
  SELECT iu1.* FROM incident_updates iu1
  INNER JOIN (
    SELECT incident_id, MAX(created_at) as max_at
    FROM incident_updates GROUP BY incident_id
  ) iu2 ON iu1.incident_id = iu2.incident_id AND iu1.created_at = iu2.max_at
) iu ON iu.incident_id = i.id;","SELECT table_alias0.*, iu.col_name, iu.col_name, iu.col_name as column_alias0 FROM table_name table_alias0 LEFT JOIN ( SELECT table_alias1.* FROM table_name table_alias1 INNER JOIN ( SELECT col_name, MAX(col_name) as column_alias1 FROM table_name GROUP BY col_name ) iu2 ON table_alias1.col_name = iu2.col_name AND table_alias1.col_name = iu2.column_alias1 ) iu ON iu.col_name = table_alias0.id;"
drawSQL-mysql-export-2026-01-13_cachet,10,How many components do we have in each group?,MEDIUM,"SELECT cg.name as group_name, COUNT(c.id) as component_count
FROM component_groups cg
LEFT JOIN components c ON c.group_id = cg.id
GROUP BY cg.id, cg.name;","SELECT table_alias0.col_name as column_alias0, COUNT(table_alias1.id) as column_alias1 FROM table_name table_alias0 LEFT JOIN table_name table_alias1 ON table_alias1.col_name = table_alias0.id GROUP BY table_alias0.id, table_alias0.col_name;"
